"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"258","Cavan",14.8,3.7,22.2,29.6,29.6
"259","Cavan",3.4,10.3,20.7,31,34.5
"260","Cavan",11.8,5.9,20.6,41.2,20.6
"261","Cavan",17,6.4,27.7,29.8,19.1
"262","Cavan",0,5.9,23.5,52.9,17.6
"263","Cavan",5.6,11.1,22.2,11.1,50
"264","Cavan",4.8,4.8,4.8,23.8,61.9
"265","Cavan",16.7,5.6,11.1,16.7,50
"266","Cavan",8.8,0,11.8,38.2,41.2
"267","Cavan",4.3,8.7,17.4,21.7,47.8
"268","Cavan",7.1,0,14.3,32.1,46.4
"269","Cavan",4.8,0,19,38.1,38.1
"270","Cavan",14.3,2.9,17.1,34.3,31.4
"271","Cavan",2.7,5.4,8.1,35.1,48.6
"272","Cavan",12.2,17.1,17.1,31.7,22
"273","Cavan",0,5.9,11.8,38.2,44.1
"274","Cavan",20,20,50,0,10
"275","Cavan",3.7,11.1,14.8,40.7,29.6
"276","Cavan",14.3,17.9,39.3,21.4,7.1
"277","Cavan",5.4,5.4,18.9,48.6,21.6
"278","Cavan",4.8,0,38.1,28.6,28.6
"279","Cavan",4,4,20,16,56
"280","Cavan",7.7,7.7,15.4,30.8,38.5
"281","Cavan",0,3,18.2,39.4,39.4
"282","Cavan",0,10,25,25,40
"283","Cavan",8.7,4.3,43.5,21.7,21.7
"284","Cavan",13.3,0,20,33.3,33.3
"285","Cavan",0,14.3,0,71.4,14.3
"286","Cavan",9.5,14.3,19,23.8,33.3
"287","Cavan",18.8,9.4,9.4,9.4,53.1
"288","Cavan",13.6,13.6,4.5,40.9,27.3
"289","Cavan",11.8,5.9,17.6,11.8,52.9
"290","Cavan",9.4,3.1,9.4,34.4,43.8
"291","Cavan",10,3.3,3.3,30,53.3
"292","Cavan",12.5,4.2,16.7,33.3,33.3
"293","Cavan",3.7,7.4,18.5,37,33.3
"294","Cavan",10.2,12.2,22.4,28.6,26.5
"295","Cavan",5,10,30,15,40
"296","Cavan",6.1,6.1,15.2,30.3,42.4
"297","Cavan",9.1,6.1,15.2,33.3,36.4
"298","Cavan",10.5,0,21.1,42.1,26.3
"299","Cavan",15,20,10,25,30
"300","Cavan",21.7,4.3,26.1,26.1,21.7
"301","Cavan",7.7,12.8,20.5,25.6,33.3
"302","Cavan",16.7,8.3,50,8.3,16.7
"303","Cavan",15,15,25,30,15
"304","Cavan",31.3,6.3,50,12.5,0
"305","Cavan",10,6,12,30,42
"306","Cavan",27.3,0,54.5,9.1,9.1
"307","Cavan",25,10,40,20,5
"308","Cavan",21.7,8.7,56.5,13,0
"309","Cavan",41.7,0,33.3,8.3,16.7
"310","Cavan",22.2,0,27.8,27.8,22.2
"311","Cavan",15.8,0,36.8,36.8,10.5
"312","Cavan",4,8,44,28,16
"313","Cavan",8.3,12.5,12.5,25,41.7
"314","Cavan",0,4.8,14.3,23.8,57.1
"315","Cavan",0,0,5,30,65
