"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"11560","Waterford County",16,4,28,28,24
"11561","Waterford County",8.8,0,11.8,44.1,35.3
"11562","Waterford County",8.8,2.9,23.5,29.4,35.3
"11563","Waterford County",14.3,0,71.4,14.3,0
"11564","Waterford County",0,0,11.8,70.6,17.6
"11565","Waterford County",9.1,9.1,9.1,45.5,27.3
"11566","Waterford County",0,0,31.8,31.8,36.4
"11567","Waterford County",0,0,22.2,33.3,44.4
"11568","Waterford County",0,0,20,60,20
"11569","Waterford County",7.1,11.9,21.4,31,28.6
"11570","Waterford County",8.1,0,16.2,43.2,32.4
"11571","Waterford County",21.1,2.6,21.1,34.2,21.1
"11572","Waterford County",8.8,5.9,26.5,38.2,20.6
"11573","Waterford County",2.4,2.4,12.2,36.6,46.3
"11574","Waterford County",8.8,5.9,5.9,32.4,47.1
"11575","Waterford County",13.3,13.3,20,36.7,16.7
"11576","Waterford County",4.8,9.5,16.7,35.7,33.3
"11577","Waterford County",10.5,5.3,31.6,15.8,36.8
"11578","Waterford County",13,8.7,26.1,43.5,8.7
"11579","Waterford County",0,9.5,23.8,23.8,42.9
"11580","Waterford County",9.1,18.2,4.5,31.8,36.4
"11581","Waterford County",11.4,8.6,14.3,34.3,31.4
"11582","Waterford County",18,8.2,29.5,31.1,13.1
"11583","Waterford County",10,0,27.5,32.5,30
"11584","Waterford County",5.9,0,11.8,29.4,52.9
"11585","Waterford County",11.1,0,22.2,22.2,44.4
"11586","Waterford County",18.2,0,18.2,36.4,27.3
"11587","Waterford County",0,6.3,6.3,50,37.5
"11588","Waterford County",23.5,0,23.5,41.2,11.8
"11589","Waterford County",13.3,13.3,20,26.7,26.7
"11590","Waterford County",5.3,5.3,21.1,42.1,26.3
"11591","Waterford County",7.7,0,23.1,30.8,38.5
"11592","Waterford County",5.3,7.9,5.3,36.8,44.7
"11593","Waterford County",8.1,3.2,12.9,21,54.8
"11594","Waterford County",4.5,0,13.6,31.8,50
"11595","Waterford County",21.4,25,17.9,21.4,14.3
"11596","Waterford County",0,10.3,0,27.6,62.1
"11597","Waterford County",10,2.5,12.5,32.5,42.5
"11598","Waterford County",10.3,3.4,24.1,24.1,37.9
"11599","Waterford County",3.8,3.8,11.5,38.5,42.3
"11600","Waterford County",11.1,11.1,11.1,44.4,22.2
"11601","Waterford County",8.7,13,13,47.8,17.4
"11602","Waterford County",3.6,7.1,17.9,32.1,39.3
"11603","Waterford County",0,0,20,60,20
"11604","Waterford County",0,4.3,13,39.1,43.5
"11605","Waterford County",0,5.6,16.7,16.7,61.1
"11606","Waterford County",3.8,3.8,11.5,26.9,53.8
"11607","Waterford County",0,0,16.7,37.5,45.8
"11608","Waterford County",8.7,8.7,21.7,39.1,21.7
"11609","Waterford County",14.8,11.1,18.5,29.6,25.9
"11610","Waterford County",28.6,23.8,38.1,0,9.5
"11611","Waterford County",4.3,8.5,10.6,31.9,44.7
"11612","Waterford County",3.8,3.8,15.1,24.5,52.8
"11613","Waterford County",14.6,2.1,12.5,45.8,25
"11614","Waterford County",6.5,0,2.2,23.9,67.4
"11615","Waterford County",11.1,8.9,33.3,40,6.7
"11616","Waterford County",10,0,10,50,30
"11617","Waterford County",4.2,8.3,37.5,8.3,41.7
"11618","Waterford County",18.2,9.1,9.1,27.3,36.4
"11619","Waterford County",6.3,12.5,6.3,37.5,37.5
"11620","Waterford County",22.2,3.7,18.5,33.3,22.2
"11621","Waterford County",12.5,4.2,16.7,25,41.7
"11622","Waterford County",7.7,15.4,3.8,38.5,34.6
"11623","Waterford County",1.9,3.7,25.9,40.7,27.8
"11624","Waterford County",15.6,15.6,11.1,31.1,26.7
"11625","Waterford County",17.6,5.9,5.9,35.3,35.3
"11626","Waterford County",11.1,13.3,8.9,33.3,33.3
"11627","Waterford County",11.1,3.7,11.1,33.3,40.7
"11628","Waterford County",8.7,4.3,21.7,41.3,23.9
"11629","Waterford County",3.7,7.4,11.1,18.5,59.3
"11630","Waterford County",16.7,12.5,8.3,20.8,41.7
"11631","Waterford County",7.3,0,19.5,34.1,39
"11632","Waterford County",6.9,0,10.3,34.5,48.3
"11633","Waterford County",12.5,8.3,4.2,25,50
"11634","Waterford County",2.2,4.4,15.6,40,37.8
"11635","Waterford County",13.8,3.4,27.6,37.9,17.2
"11636","Waterford County",12.5,12.5,12.5,37.5,25
"11637","Waterford County",3.2,0,22.6,22.6,51.6
"11638","Waterford County",3.8,3.8,7.7,30.8,53.8
"11639","Waterford County",27.8,2.8,11.1,38.9,19.4
"11640","Waterford County",6.9,10.3,34.5,17.2,31
"11641","Waterford County",0,5.6,13.9,36.1,44.4
"11642","Waterford County",6.7,10,30,33.3,20
"11643","Waterford County",6.5,0,19.4,22.6,51.6
"11644","Waterford County",13,17.4,26.1,13,30.4
"11645","Waterford County",20,6.7,10,46.7,16.7
"11646","Waterford County",10,0,20,20,50
"11647","Waterford County",7.1,0,17.9,17.9,57.1
"11648","Waterford County",7.5,5,5,37.5,45
"11649","Waterford County",3,6.1,30.3,27.3,33.3
"11650","Waterford County",4.3,4.3,8.7,39.1,43.5
"11651","Waterford County",17.4,0,4.3,39.1,39.1
"11652","Waterford County",12.2,2.4,22,26.8,36.6
"11653","Waterford County",3.2,6.5,12.9,25.8,51.6
"11654","Waterford County",21.9,6.3,31.3,18.8,21.9
"11655","Waterford County",24.2,18.2,27.3,21.2,9.1
"11656","Waterford County",6.5,3.2,6.5,29,54.8
"11657","Waterford County",25.9,7.4,33.3,18.5,14.8
"11658","Waterford County",3.3,16.7,50,16.7,13.3
"11659","Waterford County",20,2.9,42.9,11.4,22.9
"11660","Waterford County",18.6,11.6,27.9,23.3,18.6
"11661","Waterford County",33.3,9.1,36.4,21.2,0
"11662","Waterford County",14.8,0,40.7,29.6,14.8
"11663","Waterford County",6.8,13.6,13.6,49.2,16.9
"11664","Waterford County",5,25,40,20,10
"11665","Waterford County",3.6,3.6,17.9,32.1,42.9
"11666","Waterford County",10.3,3.4,31,31,24.1
"11667","Waterford County",8,6,18,26,42
"11668","Waterford County",5.2,3.4,8.6,22.4,60.3
"11669","Waterford County",5.4,5.4,13.5,35.1,40.5
"11670","Waterford County",2.4,17.1,39,29.3,12.2
"11671","Waterford County",4.1,4.1,22.4,53.1,16.3
"11672","Waterford County",16.7,10,23.3,30,20
"11673","Waterford County",6.9,3.4,10.3,31,48.3
"11674","Waterford County",10.2,8.2,10.2,32.7,38.8
"11675","Waterford County",12.5,6.3,50,25,6.3
"11676","Waterford County",5.1,0,20.5,15.4,59
"11677","Waterford County",0,3.7,14.8,44.4,37
"11678","Waterford County",0,0,17.5,35,47.5
"11679","Waterford County",21.1,10.5,42.1,21.1,5.3
"11680","Waterford County",26.1,8.7,43.5,8.7,13
"11681","Waterford County",13.3,6.7,60,20,0
"11682","Waterford County",0,4.2,16.7,33.3,45.8
"11683","Waterford County",0,2.9,2.9,20,74.3
"11684","Waterford County",12,4,4,44,36
"11685","Waterford County",0,7.7,15.4,46.2,30.8
"11686","Waterford County",12,8,4,48,28
"11687","Waterford County",13.3,0,20,26.7,40
"11688","Waterford City",2.6,0,25.6,43.6,28.2
"11689","Waterford City",8.5,8.5,13.6,45.8,23.7
"11690","Waterford City",8.1,8.1,16.2,32.4,35.1
"11691","Waterford City",15.3,15.3,20.8,37.5,11.1
"11692","Waterford City",31,2.4,31,26.2,9.5
"11693","Waterford City",10.8,5.4,35.1,35.1,13.5
"11694","Waterford City",8.6,13.8,22.4,51.7,3.4
"11695","Waterford City",15.6,9.4,20.3,45.3,9.4
"11696","Waterford City",8.7,4.3,60.9,26.1,0
"11697","Waterford City",0,0,11.4,20,68.6
"11698","Waterford City",6.3,18.8,25,31.3,18.8
"11699","Waterford City",6.1,0,12.1,33.3,48.5
"11700","Waterford City",3.1,3.1,6.2,13.8,73.8
"11701","Waterford City",13.3,3.3,30,33.3,20
"11702","Waterford City",8.7,13,21.7,21.7,34.8
"11703","Waterford City",2.6,5.3,23.7,18.4,50
"11704","Waterford City",3.6,10.7,14.3,46.4,25
"11705","Waterford City",2.3,1.5,9.9,19.4,66.9
"11706","Waterford City",31.3,6.3,12.5,46.9,3.1
"11707","Waterford City",11.1,0,25.9,25.9,37
"11708","Waterford City",0,0,60,20,20
"11709","Waterford City",6.1,0,15.2,39.4,39.4
"11710","Waterford City",15.8,5.3,42.1,26.3,10.5
"11711","Waterford City",29.3,17.1,29.3,24.4,0
"11712","Waterford City",16,8,44,24,8
"11713","Waterford City",26.1,4.3,39.1,26.1,4.3
"11714","Waterford City",0,9.1,72.7,9.1,9.1
"11715","Waterford City",30,0,70,0,0
"11716","Waterford City",7.7,5.8,25,50,11.5
"11717","Waterford City",18.2,9.1,15.2,30.3,27.3
"11718","Waterford City",15,10,45,20,10
"11719","Waterford City",10.8,10.8,24.3,43.2,10.8
"11720","Waterford City",15.9,13.6,11.4,40.9,18.2
"11721","Waterford City",10,0,75,15,0
"11722","Waterford City",11.4,9.1,9.1,56.8,13.6
"11723","Waterford City",7.4,14.8,55.6,14.8,7.4
"11724","Waterford City",12.5,8.3,41.7,29.2,8.3
"11725","Waterford City",8.8,5.3,17.5,33.3,35.1
"11726","Waterford City",8.5,15.5,28.2,31,16.9
"11727","Waterford City",11.1,11.1,36.1,38.9,2.8
"11728","Waterford City",22.5,7.5,22.5,45,2.5
"11729","Waterford City",9.1,9.1,9.1,9.1,63.6
"11730","Waterford City",14.3,14.3,8.6,22.9,40
"11731","Waterford City",4.5,13.6,27.3,45.5,9.1
"11732","Waterford City",0,5,65,15,15
"11733","Waterford City",0,20,10,30,40
"11734","Waterford City",0,15,35,25,25
"11735","Waterford City",1.9,3.8,13.5,30.8,50
"11736","Waterford City",9.1,18.2,18.2,27.3,27.3
"11737","Waterford City",4.9,2.4,7.3,22,63.4
"11738","Waterford City",13.2,7.5,9.4,47.2,22.6
"11739","Waterford City",15.4,15.4,61.5,7.7,0
"11740","Waterford City",17.4,21.7,26.1,21.7,13
"11741","Waterford City",3.8,23.1,26.9,26.9,19.2
"11742","Waterford City",17.7,9.7,11.3,38.7,22.6
"11743","Waterford City",0,6.5,19.4,51.6,22.6
"11744","Waterford City",6.7,3.3,26.7,56.7,6.7
"11745","Waterford City",18.2,3,27.3,39.4,12.1
"11746","Waterford City",0,5,25,15,55
"11747","Waterford City",10,0,10,50,30
"11748","Waterford City",0,9.4,3.1,18.8,68.8
"11749","Waterford City",0,0,20.8,20.8,58.3
"11750","Waterford City",0,44,28,24,4
"11751","Waterford City",10,10,70,0,10
"11752","Waterford City",3.2,6.5,6.5,51.6,32.3
"11753","Waterford City",14.3,5.7,34.3,34.3,11.4
"11754","Waterford City",7.7,3.8,65.4,15.4,7.7
"11755","Waterford City",6.7,16.7,13.3,36.7,26.7
"11756","Waterford City",35.3,0,35.3,17.6,11.8
"11757","Waterford City",20,0,20,40,20
"11758","Waterford City",13.3,13.3,0,40,33.3
"11759","Waterford City",4.3,4.3,26.1,47.8,17.4
"11760","Waterford City",7.1,14.3,28.6,35.7,14.3
"11761","Waterford City",3.2,12.9,12.9,16.1,54.8
"11762","Waterford City",11.1,0,38.9,38.9,11.1
"11763","Waterford City",7.7,7.7,34.6,26.9,23.1
"11764","Waterford City",19,9.5,28.6,42.9,0
"11765","Waterford City",13,21.7,13,39.1,13
"11766","Waterford City",42.9,21.4,7.1,28.6,0
"11767","Waterford City",15.2,12.1,18.2,33.3,21.2
"11768","Waterford City",10,6.7,20,30,33.3
"11769","Waterford City",11.8,17.6,17.6,35.3,17.6
"11770","Waterford City",5.4,2.7,8.1,32.4,51.4
"11771","Waterford City",23.1,7.7,46.2,23.1,0
"11772","Waterford City",6,4,4,30,56
"11773","Waterford City",5.2,1.7,15.5,19,58.6
"11774","Waterford City",4,2,16,26,52
"11775","Waterford City",1.9,1.9,1.9,3.8,90.4
"11776","Waterford City",15.4,15.4,38.5,23.1,7.7
"11777","Waterford City",10,5,20,35,30
"11778","Waterford City",30.7,6.7,34.7,21.3,6.7
"11779","Waterford City",13.3,16.7,30,16.7,23.3
"11780","Waterford City",4.6,0,3.4,12.6,79.3
"11781","Waterford City",25,12.5,21.9,34.4,6.3
"11782","Waterford City",5.6,8.3,16.7,19.4,50
"11783","Waterford City",2.2,4.3,13,37,43.5
"11784","Waterford City",2.9,0,14.5,26.1,56.5
"11785","Waterford City",19,9.5,33.3,33.3,4.8
"11786","Waterford City",10.3,17.2,24.1,31,17.2
"11787","Waterford City",5.9,17.6,58.8,17.6,0
"11788","Waterford City",29.4,5.9,35.3,17.6,11.8
"11789","Waterford City",31.6,5.3,47.4,15.8,0
"11790","Waterford City",3.2,14.5,25.8,38.7,17.7
"11791","Waterford City",8.3,8.3,66.7,0,16.7
"11792","Waterford City",33.3,0,55.6,11.1,0
"11793","Waterford City",0,2.6,21.1,18.4,57.9
"11794","Waterford City",19,9.5,19,14.3,38.1
"11795","Waterford City",0,20,50,30,0
"11796","Waterford City",15,5,45,27.5,7.5
"11797","Waterford City",3,9.1,9.1,51.5,27.3
"11798","Waterford City",9.1,4.5,40.9,27.3,18.2
"11799","Waterford City",10.7,14.3,39.3,17.9,17.9
"11800","Waterford City",0,42.9,28.6,28.6,0
"11801","Waterford City",1.6,3.3,9.8,11.5,73.8
"11802","Waterford City",2.9,2.9,17.6,41.2,35.3
"11803","Waterford City",0,4,8,28,60
"11804","Waterford City",0,99.9,0,0,0
"11805","Waterford City",0,0,6.8,11,82.2
"11806","Waterford City",0,5.3,15.8,26.3,52.6
"11807","Waterford City",2.6,2.6,10.5,36.8,47.4
"11808","Waterford City",0,7.8,12.5,39.1,40.6
"11809","Waterford City",6,10,18,34,32
"11810","Waterford City",10.2,10.2,24.5,49,6.1
"11811","Waterford City",5.5,3.6,14.5,45.5,30.9
"11812","Waterford City",6,0,26,18,50
"11813","Waterford City",13.6,4.5,18.2,22.7,40.9
"11814","Waterford City",2.1,4.3,19.1,17,57.4
"11815","Waterford City",8.2,10.2,22.4,24.5,34.7
"11816","Waterford City",4.4,6.7,15.6,20,53.3
"11817","Waterford City",6.8,9.1,11.4,31.8,40.9
"11818","Waterford City",0,0,11.9,33.3,54.8
"11819","Waterford City",1.7,1.7,19,27.6,50
"11820","Waterford City",3,6.1,12.1,33.3,45.5
"11821","Waterford City",5.1,0,15.4,33.3,46.2
"11822","Waterford City",5.6,11.1,44.4,22.2,16.7
"11823","Waterford City",2.2,4.3,10.9,21.7,60.9
"11824","Waterford City",5.7,5.7,14.3,22.9,51.4
"11825","Waterford City",0,2.2,11.1,37.8,48.9
"11826","Waterford City",9.1,3,27.3,27.3,33.3
"11827","Waterford City",4.1,4.1,10.2,36.7,44.9
"11828","Waterford City",3,12.1,12.1,42.4,30.3
"11829","Waterford City",5.1,17.9,38.5,23.1,15.4
"11830","Waterford City",2.9,28.6,2.9,8.6,57.1
"11831","Waterford City",7.7,38.5,38.5,15.4,0
"11832","Waterford City",17.9,3.6,28.6,37.5,12.5
"11833","Waterford City",0,2.4,26.8,29.3,41.5
"11834","Waterford City",2.7,5.4,27,29.7,35.1
"11835","Waterford City",0,4.2,16.7,25,54.2
"11836","Waterford City",4.5,15.6,7.1,13,59.7
"11837","Waterford City",10,10,6.7,26.7,46.7
"11838","Waterford City",5.3,0,18.4,28.9,47.4
"11839","Waterford City",0,10,50,10,30
"11840","Waterford City",0,5.6,27.8,44.4,22.2
"11841","Waterford City",0,6.1,27.3,30.3,36.4
"11842","Waterford City",0,0,37.5,62.5,0
"11843","Waterford City",6.3,25,62.5,6.3,0
"11844","Waterford City",5.1,5.1,17.9,20.5,51.3
"11845","Waterford City",0,33.3,33.3,22.2,11.1
"11846","Waterford City",0,18.2,36.4,45.5,0
"11847","Waterford City",6.7,3.3,13.3,26.7,50
"11848","Waterford City",2.3,9.1,9.1,27.3,52.3
"11849","Waterford City",0,33.3,50,16.7,0
"11850","Waterford City",0,20.7,34.5,34.5,10.3
"11851","Waterford City",6.7,20,20,26.7,26.7
"11852","Waterford City",3.3,3.3,13.3,40,40
"11853","Waterford City",9.3,9.3,20.4,33.3,27.8
"11854","Waterford City",10.9,6.3,23.4,31.3,28.1
"11855","Waterford City",3.6,3.6,14.3,32.1,46.4
"11856","Waterford City",0,7,9.3,48.8,34.9
"11857","Waterford City",0,14.8,14.8,44.4,25.9
"11858","Waterford City",0,5.6,11.1,30.6,52.8
"11859","Waterford City",4.2,0,8.3,33.3,54.2
"11860","Waterford City",0,2.1,6.3,37.5,54.2
"11861","Waterford City",2.5,20,20,40,17.5
"11862","Waterford City",0,27.3,18.2,27.3,27.3
"11863","Waterford City",0,14.3,42.9,14.3,28.6
"11864","Waterford City",11.1,22.2,55.6,11.1,0
"11865","Waterford City",0,10.5,10.5,42.1,36.8
"11866","Waterford City",3.5,7,7,47.4,35.1
"11867","Waterford City",0,2.8,11.1,33.3,52.8
"11868","Waterford City",3,6.1,12.1,51.5,27.3
"11869","Waterford City",1.7,3.4,17.2,48.3,29.3
"11870","Waterford City",3.5,8.8,26.3,50.9,10.5
"11871","Waterford City",13,3.7,27.8,25.9,29.6
"11872","Waterford City",4.7,11.6,23.3,16.3,44.2
"11873","Waterford City",0,3.2,3.2,29,64.5
"11874","Waterford City",5.4,2.7,5.4,21.6,64.9
"11875","Waterford City",5.3,2.6,34.2,23.7,34.2
"11876","Waterford City",1.6,4.8,12.7,30.2,50.8
"11877","Waterford City",1,1,10.7,28.2,59.2
"11878","Waterford City",6.1,4.1,14.3,34.7,40.8
"11879","Westmeath",11.5,3.8,19.2,30.8,34.6
"11880","Westmeath",10.9,2.2,28.3,37,21.7
"11881","Westmeath",4.4,8.8,23.5,25,38.2
"11882","Westmeath",10.4,6.5,19.5,28.6,35.1
"11883","Westmeath",0,8.3,41.7,8.3,41.7
"11884","Westmeath",4.2,12.5,25,33.3,25
"11885","Westmeath",0,28.6,35.7,28.6,7.1
"11886","Westmeath",1.9,5.6,29.6,24.1,38.9
"11887","Westmeath",1.8,5.4,17.9,41.1,33.9
"11888","Westmeath",3.2,0,19.4,61.3,16.1
"11889","Westmeath",0,0,4.5,21.3,74.2
"11890","Westmeath",10.6,31.9,14.9,25.5,17
"11891","Westmeath",1.9,3.8,24.5,22.6,47.2
"11892","Westmeath",0,0,17.4,43.5,39.1
"11893","Westmeath",0,6.1,15.2,33.3,45.5
"11894","Westmeath",0,2.6,12.8,12.8,71.8
"11895","Westmeath",0,4.8,7.9,7.9,79.4
"11896","Westmeath",5.1,6.8,20.3,40.7,27.1
"11897","Westmeath",5.3,5.3,15.8,42.1,31.6
"11898","Westmeath",0,0,8,32,60
"11899","Westmeath",0,7.7,7.7,15.4,69.2
"11900","Westmeath",5.3,15.8,21.1,31.6,26.3
"11901","Westmeath",12.9,0,54.8,29,3.2
"11902","Westmeath",9.5,19,9.5,19,42.9
"11903","Westmeath",4.8,9.5,33.3,42.9,9.5
"11904","Westmeath",6.7,6.7,13.3,26.7,46.7
"11905","Westmeath",16.1,6.5,38.7,38.7,0
"11906","Westmeath",0,99.9,0,0,0
"11907","Westmeath",0,40,30,20,10
"11908","Westmeath",0,80,10,10,0
"11909","Westmeath",28.6,14.3,19,23.8,14.3
"11910","Westmeath",5.3,26.3,47.4,15.8,5.3
"11911","Westmeath",26.1,0,39.1,26.1,8.7
"11912","Westmeath",4.2,4.2,16.7,20.8,54.2
"11913","Westmeath",5.6,5.6,38.9,22.2,27.8
"11914","Westmeath",4.9,4.9,14.6,17.1,58.5
"11915","Westmeath",30.9,17.6,30.9,11.8,8.8
"11916","Westmeath",25,9.4,20.3,18.8,26.6
"11917","Westmeath",2.4,2.4,34.1,36.6,24.4
"11918","Westmeath",14.3,14.3,57.1,14.3,0
"11919","Westmeath",16.1,12.9,22.6,29,19.4
"11920","Westmeath",18.8,20.3,21.9,20.3,18.8
"11921","Westmeath",10.5,0,0,21.1,68.4
"11922","Westmeath",17.5,10,35,27.5,10
"11923","Westmeath",0,0,12.5,31.3,56.3
"11924","Westmeath",0,13.6,27.3,31.8,27.3
"11925","Westmeath",16,4,20,44,16
"11926","Westmeath",8.6,28.6,28.6,25.7,8.6
"11927","Westmeath",0,25,15,15,45
"11928","Westmeath",5.9,41.2,17.6,20.6,14.7
"11929","Westmeath",0,0,12.5,20.8,66.7
"11930","Westmeath",10.1,12.4,20.2,40.4,16.9
"11931","Westmeath",0,3.7,14.8,25.9,55.6
"11932","Westmeath",0,17.6,29.4,23.5,29.4
"11933","Westmeath",0,10,16,32,42
"11934","Westmeath",3.4,27.6,20.7,31,17.2
"11935","Westmeath",0,5.6,22.2,38.9,33.3
"11936","Westmeath",0,3.4,24.1,20.7,51.7
"11937","Westmeath",3.8,11.5,7.7,50,26.9
"11938","Westmeath",9.1,3,16.7,25.8,45.5
"11939","Westmeath",5.3,10.5,19.3,40.4,24.6
"11940","Westmeath",11.5,7.7,34.6,7.7,38.5
"11941","Westmeath",8.9,6.7,11.1,46.7,26.7
"11942","Westmeath",0,2,12.2,22.4,63.3
"11943","Westmeath",7.1,1.8,12.5,33.9,44.6
"11944","Westmeath",13.8,0,24.1,31,31
"11945","Westmeath",0,0,18.8,31.3,50
"11946","Westmeath",15,10,30,30,15
"11947","Westmeath",13.3,3.3,20,26.7,36.7
"11948","Westmeath",17.3,49.3,5.3,17.3,10.7
"11949","Westmeath",11.1,11.1,33.3,33.3,11.1
"11950","Westmeath",14.3,9.5,9.5,28.6,38.1
"11951","Westmeath",22.7,4.5,13.6,18.2,40.9
"11952","Westmeath",5.6,11.1,27.8,36.1,19.4
"11953","Westmeath",0,5.3,10.5,57.9,26.3
"11954","Westmeath",10.4,12.5,25,25,27.1
"11955","Westmeath",0,5.3,21.1,26.3,47.4
"11956","Westmeath",18.5,11.1,13,27.8,29.6
"11957","Westmeath",6.9,3.4,20.7,24.1,44.8
"11958","Westmeath",8.7,13,13,34.8,30.4
"11959","Westmeath",8,4,12,24,52
"11960","Westmeath",12.5,9.4,18.8,34.4,25
"11961","Westmeath",10.7,0,21.4,39.3,28.6
"11962","Westmeath",16.7,10,16.7,16.7,40
"11963","Westmeath",11.9,9.5,11.9,42.9,23.8
"11964","Westmeath",5,7.5,17.5,42.5,27.5
"11965","Westmeath",5,10,20,30,35
"11966","Westmeath",22.2,11.1,25.9,18.5,22.2
"11967","Westmeath",0,10,5,55,30
"11968","Westmeath",10.5,10.5,5.3,47.4,26.3
"11969","Westmeath",22.2,7.4,22.2,18.5,29.6
"11970","Westmeath",0,12.5,6.3,25,56.3
"11971","Westmeath",15.4,3.8,7.7,30.8,42.3
"11972","Westmeath",13.6,13.6,13.6,31.8,27.3
"11973","Westmeath",2.7,8.1,21.6,32.4,35.1
"11974","Westmeath",6.3,9.4,18.8,25,40.6
"11975","Westmeath",2.8,8.3,22.2,22.2,44.4
"11976","Westmeath",3.7,0,11.1,37,48.1
"11977","Westmeath",5.4,10.8,13.5,29.7,40.5
"11978","Westmeath",17.2,6.9,37.9,27.6,10.3
"11979","Westmeath",9.5,9.5,28.6,33.3,19
"11980","Westmeath",14.6,12.2,29.3,29.3,14.6
"11981","Westmeath",13.2,2.6,26.3,36.8,21.1
"11982","Westmeath",10.9,5.5,14.5,23.6,45.5
"11983","Westmeath",6.3,0,18.8,25,50
"11984","Westmeath",11.4,9.1,9.1,25,45.5
"11985","Westmeath",13,0,13,34.8,39.1
"11986","Westmeath",13.3,6.7,10,30,40
"11987","Westmeath",8.8,2.9,32.4,17.6,38.2
"11988","Westmeath",15.2,12.1,6.1,36.4,30.3
"11989","Westmeath",0,0,41.7,29.2,29.2
"11990","Westmeath",3.5,1.2,8.2,34.1,52.9
"11991","Westmeath",20.6,11.8,23.5,17.6,26.5
"11992","Westmeath",19,0,4.8,38.1,38.1
"11993","Westmeath",0,9.1,22.7,27.3,40.9
"11994","Westmeath",6.5,6.5,23.9,43.5,19.6
"11995","Westmeath",0,4.5,13.6,36.4,45.5
"11996","Westmeath",16.7,10,26.7,20,26.7
"11997","Westmeath",17.4,2.2,15.2,32.6,32.6
"11998","Westmeath",8.6,2.9,25.7,31.4,31.4
"11999","Westmeath",9.4,3.1,18.8,40.6,28.1
"12000","Westmeath",3.6,1.8,25.5,21.8,47.3
"12001","Westmeath",20.8,4.2,20.8,37.5,16.7
"12002","Westmeath",10.3,6.9,20.7,44.8,17.2
"12003","Westmeath",7.4,7.4,29.6,25.9,29.6
"12004","Westmeath",0,2.9,17.1,22.9,57.1
"12005","Westmeath",14.3,7.1,32.1,17.9,28.6
"12006","Westmeath",11.1,0,22.2,25.9,40.7
"12007","Westmeath",7.1,14.3,25,17.9,35.7
"12008","Westmeath",19,11.9,14.3,26.2,28.6
"12009","Westmeath",3.3,6.7,20,33.3,36.7
"12010","Westmeath",16.2,2.7,24.3,35.1,21.6
"12011","Westmeath",4.8,9.5,23.8,33.3,28.6
"12012","Westmeath",18.8,6.3,6.3,43.8,25
"12013","Westmeath",10.4,4.2,31.3,35.4,18.8
"12014","Westmeath",8.9,13.3,24.4,26.7,26.7
"12015","Westmeath",0,0,6.7,66.7,26.7
"12016","Westmeath",0,13.6,18.2,36.4,31.8
"12017","Westmeath",8.3,12.5,12.5,29.2,37.5
"12018","Westmeath",4.2,8.3,12.5,37.5,37.5
"12019","Westmeath",3.1,0,18.8,37.5,40.6
"12020","Westmeath",23.1,0,15.4,26.9,34.6
"12021","Westmeath",14.7,8.8,14.7,29.4,32.4
"12022","Westmeath",11.4,0,25.7,37.1,25.7
"12023","Westmeath",2.3,7,18.6,34.9,37.2
"12024","Westmeath",3.7,14.8,11.1,33.3,37
"12025","Westmeath",4.8,0,4.8,47.6,42.9
"12026","Westmeath",22.2,5.6,16.7,27.8,27.8
"12027","Westmeath",3.3,3.3,3.3,40,50
"12028","Westmeath",12.7,7.3,20,23.6,36.4
"12029","Westmeath",0,7.1,3.6,35.7,53.6
"12030","Westmeath",17.9,7.7,12.8,38.5,23.1
"12031","Westmeath",16.3,6.1,20.4,34.7,22.4
"12032","Westmeath",10,5,30,25,30
"12033","Westmeath",0,3.7,18.5,40.7,37
"12034","Westmeath",21.2,6.1,21.2,21.2,30.3
"12035","Westmeath",15.4,19.2,3.8,26.9,34.6
"12036","Westmeath",0,13,39.1,17.4,30.4
"12037","Westmeath",6.1,12.1,15.2,21.2,45.5
"12038","Westmeath",4.5,2.3,18.2,22.7,52.3
"12039","Westmeath",9.5,7.1,16.7,23.8,42.9
"12040","Westmeath",16,0,20,16,48
"12041","Westmeath",6.9,8.6,10.3,37.9,36.2
"12042","Westmeath",6,14,4,38,38
"12043","Westmeath",11.4,15.9,15.9,34.1,22.7
"12044","Westmeath",10.7,7.1,25,14.3,42.9
"12045","Westmeath",0,0,43.5,17.4,39.1
"12046","Westmeath",11.8,17.6,23.5,29.4,17.6
"12047","Westmeath",8.6,5.7,37.1,22.9,25.7
"12048","Westmeath",34.8,4.3,43.5,13,4.3
"12049","Westmeath",2.6,10.5,21.1,47.4,18.4
"12050","Westmeath",1.9,0.9,0.9,10.3,86
"12051","Westmeath",20,10,10,26.7,33.3
"12052","Westmeath",25.7,5.7,17.1,25.7,25.7
"12053","Westmeath",15.4,0,25.6,25.6,33.3
"12054","Westmeath",31.3,12.5,12.5,25,18.8
"12055","Westmeath",13.9,2.8,30.6,25,27.8
"12056","Westmeath",3.6,7.1,14.3,25,50
"12057","Westmeath",2.6,5.3,23.7,26.3,42.1
"12058","Westmeath",13.2,5.3,34.2,23.7,23.7
"12059","Westmeath",0,0,28,36,36
"12060","Westmeath",12.9,12.9,32.3,41.9,0
"12061","Westmeath",12.8,7.7,48.7,17.9,12.8
"12062","Westmeath",14.3,0,57.1,14.3,14.3
